"VerseID","BookID","Chapter","VerseNum","OsisRef","VerseText"
"23146","40","1","1","Matt.1.1","The book of the generation of Jesus Christ, the son of David, the son of Abraham."
"23147","40","1","2","Matt.1.2","Abraham begat Isaac; and Isaac begat Jacob; and Jacob begat Judas and his brethren;"
"23148","40","1","3","Matt.1.3","And Judas begat Phares and Zara of Thamar; and Phares begat Esrom; and Esrom begat Aram;"
"23149","40","1","4","Matt.1.4","And Aram begat Aminadab; and Aminadab begat Naasson; and Naasson begat Salmon;"
"23150","40","1","5","Matt.1.5","And Salmon begat Booz of Rachab; and Booz begat Obed of Ruth; and Obed begat Jesse;"
"23151","40","1","6","Matt.1.6","And Jesse begat David the king; and David the king begat Solomon of her that had been the wife of Urias;"
"23152","40","1","7","Matt.1.7","And Solomon begat Roboam; and Roboam begat Abia; and Abia begat Asa;"
"23153","40","1","8","Matt.1.8","And Asa begat Josaphat; and Josaphat begat Joram; and Joram begat Ozias;"
"23154","40","1","9","Matt.1.9","And Ozias begat Joatham; and Joatham begat Achaz; and Achaz begat Ezekias;"
"23155","40","1","10","Matt.1.10","And Ezekias begat Manasses; and Manasses begat Amon; and Amon begat Josias;"
"23156","40","1","11","Matt.1.11","And Josias begat Jechonias and his brethren, about the time they were carried away to Babylon:"
"23157","40","1","12","Matt.1.12","And after they were brought to Babylon, Jechonias begat Salathiel; and Salathiel begat Zorobabel;"
"23158","40","1","13","Matt.1.13","And Zorobabel begat Abiud; and Abiud begat Eliakim; and Eliakim begat Azor;"
"23159","40","1","14","Matt.1.14","And Azor begat Sadoc; and Sadoc begat Achim; and Achim begat Eliud;"
"23160","40","1","15","Matt.1.15","And Eliud begat Eleazar; and Eleazar begat Matthan; and Matthan begat Jacob;"
"23161","40","1","16","Matt.1.16","And Jacob begat Joseph the husband of Mary, of whom was born Jesus, who is called Christ."
"23162","40","1","17","Matt.1.17","So all the generations from Abraham to David are fourteen generations; and from David until the carrying away into Babylon are fourteen generations; and from the carrying away into Babylon unto Christ are fourteen generations."
