BB,ID,Original Date,Start Date,End Date,Title,Description,References,Flag,Notes
4,1,1/20/2001,1/20/2001,1/20/2001,George W. Bush is inaugurated the 43rd president of the United States,"George W. Bush is inaugurated the 43rd president of the United States. Colin Powell, secretary of state-designate, declares that the incoming administration is prepared to encourage dialogue and possibly augment commercial ties. ",,,
4,2,June 2001,6/1/2001,6/30/2001,Bush administration policy review on Iran fails to materialize,A promised Bush administration policy review on Iran fails to materialize.,,,
4,3,6/8/2001,6/8/2001,6/8/2001,President Mohammad Khatami wins a major re-election victory,"President Mohammad Khatami wins a major re-election victory as voters turn out in huge numbers, but power nevertheless begins to shift to hardliners. ",,,
4,4,6/21/2001,6/21/2001,6/21/2001,46-count indictment for the Khobar Towers attack ,"A federal grand jury in Alexandria, Virginia, hands up a 46-count indictment for the 1996 Khobar Towers attack. ",,,
4,5,9/11/2001,9/11/2001,9/11/2001,Terrorist attacks level the World Trade Center and strike the Pentagon ,"Terrorist attacks level the World Trade Center and strike the Pentagon, as a fourth plane is forced down over Pennsylvania. Later, the U.S. sends a message through the Swiss thanking Iranian leaders for their supportive remarks and asking for their help, in particular information about Osama bin Laden and the Taliban. ",,,
4,6,9/26/2001,9/26/2001,9/26/2001,Khamenei says Iran will not join the U.S. in a coalition to fight terrorism,"Ayatollah Khamenei says Iran will not join the U.S. in a coalition to fight terrorism. Two days later, however, Akbar Hashemi Rafsanjani declares: ""[D]espite all our differences, we are willing to join the U.S.-led coalition, under the umbrella of the United Nations, if America does not impose its own view."" ",,,
4,7,Fall 2001,9/22/2001,12/21/2001,Meetings between senior U.S. diplomats and Iranians,"Numerous meetings between senior U.S. diplomats and Iranians take place during this period. ""We have contacts with the Iranians at an interesting level,"" Secretary of State Colin Powell says in late October. ",,,
4,8,11/13/2001,11/13/2001,11/13/2001,Kabul falls to Northern Alliance forces,Kabul falls to Northern Alliance forces.,,,
4,9,"December 5-6, 2001",12/5/2001,12/6/2001,Agreement establishes the Transitional Islamic Republic of Afghanistan,"The Bonn conference results in an agreement establishing the Transitional Islamic Republic of Afghanistan. U.S. representative James Dobbins later writes that all delegations were helpful, but ""[n]one more so than the Iranians."" ",,,
4,10,January 2002,1/1/2002,1/31/2002,Hadley tasks the CIA to study the stability of Iranian government,"Deputy National Security Advisor Stephen Hadley tasks the CIA to study the stability of the Iranian government, but the document is never finalized because of administration differences of view. I Based on documents, memoirs, scholarly monographs and press accounts. ",,,
4,11,1/3/2002,1/3/2002,1/3/2002,Israeli forces intercept the vessel Karine A ,"Israeli forces intercept the vessel Karine A in the Red Sea and seize its cargo of weapons. Powell comments: ""It's a pretty big smoking gun"" pointing at Iran. ",,,
4,12,1/10/2002,1/10/2002,1/10/2002,Bush sharply warns Iran against interfering in Afghanistan,"Bush sharply warns Iran against interfering in western Afghanistan, implying that military action might be considered if the country is destabilized. ",,,
4,13,1/21/2002,1/21/2002,1/21/2002,Iran pledges $560 million to help Afghan reconstruction,"On the first day of a donors' conference in Tokyo, Iran pledges $560 million to help Afghan reconstruction, almost half of the $1.3 billion committed by the major Western donors plus Japan. ",,,
4,14,1/29/2002,1/29/2002,1/29/2002,"Bush declares that Iran is part of an ""axis of evil""","In his State of the Union address, Bush declares that Iran is part of an ""axis of evil, arming to threaten the peace of the world."" Officials later claim that Iran was included as a ""prop"" to help produce a ""great line."" ",,,
