Latitude,Longitude,Year ,Month,Day,Day_Name,Display_Date,Day/Route,Alt_Route,City,Waypoint,Type,Observed,Text,NN Notes,Editorial
51.5079242,-0.096461,1849,11,6,Tuesday,"November 6, 1849",1,,London,London Bridge,w,,"Arrived at noon, ""crossed over at once into the city""",,Current London Bridge built in 1970s
51.5135254,-0.0926984,1849,11,6,Tuesday,"November 6, 1849",1,,London,Poultry St. ,w,,,"From London Bridge Station, via King William St, one block ",
,,1849,11,6,Tuesday,"November 6, 1849",1,,London,Chop-house on Poultry St.,l,,"""dinner at a chop-house in the Poultery""",,
51.5138486,-0.1005339,1849,11,6,Tuesday,"November 6, 1849",1,,London,St. Paul's,o,,"""Passed St. Paul's to the Strand""",,
,,1849,11,6,Tuesday,"November 6, 1849",1,,London,Strand,w,,"""To find our house. They referred us elsewhere, being full.""",,
51.5071619,-0.126291,1849,11,6,Tuesday,"November 6, 1849",1,,London,25 Craven St.,w,,"""Secured rooms at last. . . . Very cheap.""",,
"51.5157635,",-0.099289,1849,11,6,Tuesday,"November 6, 1849",1,,London,"Queen's Hotel, St. Martin's Le Grand",w,,"""Went down to Queen's Hotel to inquire about our ship friends.""","In St. Martin's Le Grand, near St. Paul's, a long walk",Coordinates for St. Martin's Le Grand
51.5143533,-0.1008036,1849,11,6,Tuesday,"November 6, 1849",1,,London,Paternoster Row,l,,,North of St.Paul's,
,,1849,11,6,Tuesday,"November 6, 1849",1,,London,bookstore in Paternoster Row,o,,"""inquired for [Redburn] . . .offered . . .at a guinea"" ",,
51.5128569,-0.122548,1849,11,6,Tuesday,"November 6, 1849",1,,London,Drury Lane Theatre,w,,"""Went to Drury Lane""","Catherine St east of Covent Garden, 2m walk from Queens ",
,,1849,11,6,Tuesday,"November 6, 1849",1,,London,Julien's Promenade Concert,o,"""a great crowd, & fine music""","""at Julien's Promenade Concerts""",,
,,1849,11,6,Tuesday,"November 6, 1849",1,,London,Reading room at Drury Lane Theatre,o,,"""'Bentley's Miscellany' with something about Redburn""",,
,,1849,11,6,Tuesday,"November 6, 1849",1,,London,Reading room at Drury Lane Theatre,o,,"""also saw Blackwood's long story about a short book""",,
,,1849,11,6,Tuesday,"November 6, 1849",1,,London,American Bowling Saloon (near Adelphi),w,,"""in the Strand""",Reminiscent of Melville's bowling days in Hawaii (317),
51.5071619,-0.126291,1849,11,6,Tuesday,"November 6, 1849",1,,London,25 Craven St.,w,,"""a good wash and turned in early""",,
51.5071619,-0.126291,1849,11,7,Wednesday,"November 7, 1849",2,,London,25 Craven St.,w,,,,
,,1849,11,7,Wednesday,"November 7, 1849",2,,London,"""the City""",w,,"""went down into the city & breakfasted at a 'hole in the wall'""",,
,,1849,11,7,Wednesday,"November 7, 1849",2,,London,Blackwall RR at Fenchurch St,w,,"""to the Blackwall R. R Station"" for the East India Docks""",Fenchurch St. Station north of  the Tower ,
,,1849,11,7,Wednesday,"November 7, 1849",2,,London,East India Docks,w,,"""after our trunks""",Opened in 1806,
51.5089025,-0.0804522,1849,11,7,Wednesday,"November 7, 1849",2,,London,Custom House,l,"""two disconsolates on the ship""","""infinite trouble with the cursed Customs""",Just west of the Tower,
51.5071619,-0.126291,1849,11,7,Wednesday,"November 7, 1849",2,,London,25 Craven St.,w,,"""At five pm arrived home, & dined""",,
,,1849,11,7,Wednesday,"November 7, 1849",2,,London,"Royal Lyceum Theatre, Strand",w,Gallery,"""went to see Madam Vestriss and Charles Matthews""","East end of the Strand. See ""The Two Temples.""","arrived home at 5, dined, then to the theater"
51.5071619,-0.126291,1849,11,7,Wednesday,"November 7, 1849",2,,London,25 Craven St.,w,,,,
51.5071619,-0.126291,1849,11,8,Thursday,"November 8, 1849",3,,London,25 Craven St.,w,,,,
51.511788951.511775,-0.1426959,1849,11,8,Thursday,"November 8, 1849",3,,London,8 New Burlington St.,w,"""notices of Redburn. . .laughable.""","""Went to Mr. Bentley's. He was out of town.""","8 New Burlington St., between Regent St. and Savile Row",
51.5079648,-0.1432862,1849,11,8,Thursday,"November 8, 1849",3,,London,50 Albemarle St.,w,,"""then to Mr. Murray's,--out of town""","50 Albemarle St., southest of New Burlington St., toward Piccadilly",
51.5089323,-0.1304823,1849,11,8,Thursday,"November 8, 1849",3,,London,National Gallery,w,,"""strolled about, & went into the National Gallery""",Western half of the bulding on Trafalgar Square,
,,1849,11,8,Thursday,"November 8, 1849",3,,London,Restaurant (near National Gallery?),l,,"""Dined with the Doctor & Adler""",,
51.5163953,-0.114389,1849,11,8,Thursday,"November 8, 1849",3,,London,Chancery Lane,w,,"""a dark ramble thro' Chancery Lane""",Running from Temple Bar to Holborn,
51.5156436,-0.1184664,1849,11,8,Thursday,"November 8, 1849",3,,London,Lincoln's Inn Fields,w,,""" and  Lincoln's Inn Fields""",At Inns of Court,
51.5172652,-0.120659,1849,11,8,Thursday,"November 8, 1849",3,,London,Holborn,w,,"""we turned into Holborn""",,
,,1849,11,8,Thursday,"November 8, 1849",3,,London,"Princess Theatre, Oxford St.",w,"""part of a Frenchman,"" ""skaters on ice""","""& so to the Princess's Theatre in Oxford Street""",,
51.5071619,-0.126291,1849,11,8,Thursday,"November 8, 1849",3,,London,25 Craven Street,w,,,,
51.5071619,-0.126291,1849,11,9,Friday,"November 9, 1849",4,,London,25 Craven Street,w,,,,
,,1849,11,9,Friday,"November 9, 1849",4,,London,"Queen's Hotel, St. Martin's Le Grand",w,"""saw McCurdy there & Mulligan""","""went down to Queen's Hotel""","See above, November 6.",
,,1849,11,9,Friday,"November 9, 1849",4,,London,Post Office,l,,"""Parted from the Doctor & Adler near the Post Office""",,
51.5142273,-0.0969117,1849,11,9,Friday,"November 9, 1849",4,,London,Cheapside,w,Lord Mayor's Show,"""went into Cheapside to see the 'Lord Mayor's Show'""",Near the hotel and post office,
51.5058515,-0.0946272,1849,11,9,Friday,"November 9, 1849",4,,London,London Bridge?,w,,"""went down to the bridges to see the people crowding there""",,
,,1849,11,9,Friday,"November 9, 1849",4,,London,Westminster Bridge or Hungerford ,w,,"""crossed by Westminster""","Westminster Bridge in bad repair, may have used Hungerford Bridge",See note below on Hungerford Bridge
,,1849,11,9,Friday,"November 9, 1849",4,,London,Unidentified bridge,w,,"""thought struck me again""--City of Dis",Unclear which bridge HM refers to here,"In Israel Potter he refers to London Bridge in Ch 24 (""City of Dis"")"
51.4995827,-0.1355076,1849,11,9,Friday,"November 9, 1849",4,,London,St. James's Park,l,,"""thro' the Parks""",,
51.503905,-0.1460427,1849,11,9,Friday,"November 9, 1849",4,,London,Green Park,l,,,,
51.5029691,-0.1549063,1849,11,9,Friday,"November 9, 1849",4,,London,Hyde Park Corner,o,"Apsley House, statue of Duke of Wellington","""iron Duke""",At entrance to Hyde Park,"Ma not have seen it on this walk--part of the ""thought"" aboe"
